"Regime","N","N_Positive","Pct_Positive","Mean_NET","Binom_p","Conclusion"
"R1",83,44,53.012,-3.3339,0.6609,"Mixed"
"R2",57,57,100,2.9506,0,"Transmitter (Sig.)"
"R3",61,21,34.4262,-1.1847,0.0204,"Receiver (Sig.)"
"R4",115,0,0,-5.1205,0,"Receiver (Sig.)"
"R5",57,0,0,-5.7058,0,"Receiver (Sig.)"
"R6",59,0,0,-5.82,0,"Receiver (Sig.)"
"R7",63,0,0,-7.2952,0,"Receiver (Sig.)"
"R8",58,0,0,-7.839,0,"Receiver (Sig.)"
"R9",78,0,0,-6.0862,0,"Receiver (Sig.)"
"R10",57,0,0,-5.702,0,"Receiver (Sig.)"
"R11",62,0,0,-4.7866,0,"Receiver (Sig.)"
"R12",57,0,0,-4.1141,0,"Receiver (Sig.)"
"R13",57,0,0,-2.8976,0,"Receiver (Sig.)"
"R14",91,0,0,-4.0361,0,"Receiver (Sig.)"
"R15",69,0,0,-4.3315,0,"Receiver (Sig.)"
"R16",57,0,0,-6.3982,0,"Receiver (Sig.)"
"R17",66,0,0,-7.4333,0,"Receiver (Sig.)"
